assignment_id,engagement_id,consultant_id,role,allocation_pct,hours_billed
ASN-0090,ENG-016,CON-001,Analyst,84,152
ASN-0091,ENG-017,CON-002,Engagement Partner,22,490
ASN-0092,ENG-017,CON-030,Consultant,80,297
ASN-0093,ENG-017,CON-020,Solution Architect,90,264
ASN-0094,ENG-017,CON-013,Workstream Lead,72,312
ASN-0095,ENG-017,CON-027,Solution Architect,91,334
ASN-0096,ENG-017,CON-026,Solution Architect,97,295
ASN-0097,ENG-017,CON-022,Senior Consultant,83,344
ASN-0098,ENG-018,CON-003,Engagement Partner,20,1402
ASN-0099,ENG-018,CON-010,Delivery Lead,82,1072
ASN-0100,ENG-018,CON-009,Delivery Lead,80,884
ASN-0101,ENG-018,CON-025,Data Engineer,83,888
ASN-0102,ENG-018,CON-013,Workstream Lead,88,823
ASN-0103,ENG-018,CON-004,Analyst,62,802
ASN-0104,ENG-019,CON-003,Engagement Partner,21,403
ASN-0105,ENG-019,CON-001,Analyst,67,374
ASN-0106,ENG-019,CON-018,Workstream Lead,79,391
ASN-0107,ENG-019,CON-032,Data Engineer,93,410
ASN-0108,ENG-020,CON-004,Engagement Partner,19,743
ASN-0109,ENG-020,CON-018,Workstream Lead,96,467
ASN-0110,ENG-020,CON-001,Analyst,78,448
ASN-0111,ENG-020,CON-009,Delivery Lead,97,718
ASN-0112,ENG-020,CON-003,Analyst,80,544
ASN-0113,ENG-020,CON-006,Delivery Lead,88,676
ASN-0114,ENG-021,CON-004,Engagement Partner,20,634
ASN-0115,ENG-021,CON-009,Delivery Lead,75,363
ASN-0116,ENG-021,CON-032,Consultant,86,297
ASN-0117,ENG-021,CON-014,Workstream Lead,71,263
ASN-0118,ENG-021,CON-013,Workstream Lead,85,398
ASN-0119,ENG-021,CON-021,Senior Consultant,94,391
ASN-0120,ENG-021,CON-018,Workstream Lead,90,413
ASN-0121,ENG-022,CON-003,Engagement Partner,30,1188
ASN-0122,ENG-022,CON-032,Consultant,96,542
ASN-0123,ENG-022,CON-005,Delivery Lead,95,465
ASN-0124,ENG-022,CON-025,Senior Consultant,94,422
ASN-0125,ENG-022,CON-021,Solution Architect,96,716
ASN-0126,ENG-022,CON-004,Analyst,98,503
ASN-0127,ENG-022,CON-030,ML Engineer,99,679
ASN-0128,ENG-023,CON-003,Engagement Partner,29,1445
ASN-0129,ENG-023,CON-030,ML Engineer,96,627
ASN-0130,ENG-023,CON-029,Consultant,88,559
ASN-0131,ENG-023,CON-010,Delivery Lead,78,432
ASN-0132,ENG-023,CON-021,Solution Architect,90,733
ASN-0133,ENG-023,CON-025,Senior Consultant,84,438
ASN-0134,ENG-023,CON-014,Workstream Lead,82,604
ASN-0135,ENG-024,CON-004,Engagement Partner,17,417
ASN-0136,ENG-024,CON-014,Workstream Lead,76,455
ASN-0137,ENG-024,CON-025,Solution Architect,98,621
ASN-0138,ENG-024,CON-021,Senior Consultant,98,455
ASN-0139,ENG-024,CON-010,Delivery Lead,60,379
ASN-0140,ENG-025,CON-006,Engagement Partner,27,425
ASN-0141,ENG-025,CON-023,Solution Architect,95,167
ASN-0142,ENG-025,CON-004,Analyst,81,218
ASN-0143,ENG-025,CON-030,ML Engineer,85,250
ASN-0144,ENG-025,CON-025,Senior Consultant,99,247
ASN-0145,ENG-025,CON-032,ML Engineer,98,249
ASN-0146,ENG-026,CON-004,Engagement Partner,17,567
ASN-0147,ENG-026,CON-036,Analyst,63,437
ASN-0148,ENG-026,CON-025,Solution Architect,86,678
ASN-0149,ENG-026,CON-001,Analyst,81,759
ASN-0150,ENG-027,CON-003,Engagement Partner,23,438
ASN-0151,ENG-027,CON-025,Data Engineer,81,272
ASN-0152,ENG-027,CON-013,Workstream Lead,81,174
ASN-0153,ENG-027,CON-001,Analyst,64,193
ASN-0154,ENG-027,CON-010,Delivery Lead,62,185
ASN-0155,ENG-027,CON-014,Workstream Lead,100,219
ASN-0156,ENG-027,CON-021,Senior Consultant,99,203
ASN-0157,ENG-028,CON-006,Engagement Partner,30,411
ASN-0158,ENG-028,CON-003,Analyst,83,176
ASN-0159,ENG-028,CON-029,Data Engineer,83,256
ASN-0160,ENG-028,CON-010,Delivery Lead,70,237
ASN-0161,ENG-028,CON-021,Senior Consultant,98,185
ASN-0162,ENG-029,CON-006,Engagement Partner,27,256
ASN-0163,ENG-029,CON-005,Delivery Lead,79,154
ASN-0164,ENG-029,CON-021,Data Engineer,83,158
ASN-0165,ENG-029,CON-009,Delivery Lead,96,181
ASN-0166,ENG-029,CON-016,Workstream Lead,81,133
ASN-0167,ENG-029,CON-018,Workstream Lead,91,135
ASN-0168,ENG-030,CON-003,Engagement Partner,15,184
ASN-0169,ENG-030,CON-030,ML Engineer,84,154
ASN-0170,ENG-030,CON-023,Data Engineer,96,234
ASN-0171,ENG-030,CON-021,Solution Architect,99,224
ASN-0172,ENG-030,CON-036,Analyst,94,209
ASN-0173,ENG-030,CON-014,Workstream Lead,84,154
ASN-0174,ENG-031,CON-006,Engagement Partner,25,237
ASN-0175,ENG-031,CON-040,Analyst,89,136
ASN-0176,ENG-031,CON-013,Workstream Lead,91,124
ASN-0177,ENG-031,CON-029,Consultant,95,170
ASN-0178,ENG-031,CON-001,Analyst,71,103
ASN-0179,ENG-031,CON-023,Solution Architect,88,117
ASN-0180,ENG-032,CON-004,Engagement Partner,15,709
ASN-0181,ENG-032,CON-003,Analyst,91,739
ASN-0182,ENG-032,CON-010,Delivery Lead,75,657
ASN-0183,ENG-032,CON-023,Data Engineer,95,723
ASN-0184,ENG-032,CON-024,Senior Consultant,82,565
ASN-0185,ENG-032,CON-038,Analyst,85,745
ASN-0186,ENG-033,CON-004,Engagement Partner,26,1165
ASN-0187,ENG-033,CON-023,Solution Architect,94,609
ASN-0188,ENG-033,CON-007,Delivery Lead,76,478
ASN-0189,ENG-033,CON-034,Data Engineer,86,574
ASN-0190,ENG-033,CON-010,Delivery Lead,94,897
ASN-0191,ENG-033,CON-003,Analyst,71,434
ASN-0192,ENG-034,CON-004,Engagement Partner,23,679
ASN-0193,ENG-034,CON-015,Workstream Lead,81,264
ASN-0194,ENG-034,CON-010,Delivery Lead,60,272
ASN-0195,ENG-034,CON-034,Consultant,88,258
ASN-0196,ENG-034,CON-023,Senior Consultant,97,342
ASN-0197,ENG-034,CON-026,Senior Consultant,100,493
ASN-0198,ENG-034,CON-031,ML Engineer,83,410
ASN-0199,ENG-035,CON-004,Engagement Partner,30,1083
ASN-0200,ENG-035,CON-019,Workstream Lead,73,526
ASN-0201,ENG-035,CON-017,Workstream Lead,82,493
ASN-0202,ENG-035,CON-007,Delivery Lead,96,625
ASN-0203,ENG-035,CON-026,Senior Consultant,84,400
ASN-0204,ENG-035,CON-008,Delivery Lead,96,736
ASN-0205,ENG-036,CON-002,Engagement Partner,22,381
ASN-0206,ENG-036,CON-026,Data Engineer,87,475
ASN-0207,ENG-036,CON-017,Workstream Lead,82,373
ASN-0208,ENG-036,CON-031,ML Engineer,89,508
ASN-0209,ENG-037,CON-003,Engagement Partner,24,2038
ASN-0210,ENG-037,CON-019,Workstream Lead,76,781
ASN-0211,ENG-037,CON-015,Workstream Lead,72,684
ASN-0212,ENG-037,CON-023,Senior Consultant,97,864
ASN-0213,ENG-037,CON-038,Analyst,60,678
ASN-0214,ENG-037,CON-031,Data Engineer,99,1163
ASN-0215,ENG-037,CON-017,Workstream Lead,71,712
ASN-0216,ENG-038,CON-003,Engagement Partner,29,624
ASN-0217,ENG-038,CON-008,Delivery Lead,97,417
ASN-0218,ENG-038,CON-035,Consultant,93,280
ASN-0219,ENG-038,CON-023,Senior Consultant,100,309
ASN-0220,ENG-038,CON-031,ML Engineer,84,244
ASN-0221,ENG-038,CON-019,Workstream Lead,75,346
ASN-0222,ENG-039,CON-008,Engagement Partner,29,256
ASN-0223,ENG-039,CON-019,Workstream Lead,87,137
ASN-0224,ENG-039,CON-024,Senior Consultant,99,114
ASN-0225,ENG-039,CON-010,Delivery Lead,87,157
ASN-0226,ENG-039,CON-007,Delivery Lead,98,132
ASN-0227,ENG-039,CON-017,Workstream Lead,72,95
ASN-0228,ENG-040,CON-008,Engagement Partner,23,846
ASN-0229,ENG-040,CON-003,Analyst,88,996
ASN-0230,ENG-040,CON-007,Delivery Lead,71,835
ASN-0231,ENG-040,CON-010,Delivery Lead,87,851
ASN-0232,ENG-041,CON-008,Engagement Partner,17,251
ASN-0233,ENG-041,CON-034,ML Engineer,93,220
ASN-0234,ENG-041,CON-026,Solution Architect,92,232
ASN-0235,ENG-041,CON-035,Data Engineer,81,167
ASN-0236,ENG-041,CON-019,Workstream Lead,80,144
ASN-0237,ENG-041,CON-007,Delivery Lead,67,182
ASN-0238,ENG-041,CON-010,Delivery Lead,85,219
ASN-0239,ENG-042,CON-002,Engagement Partner,29,1323
ASN-0240,ENG-042,CON-007,Delivery Lead,99,1326
ASN-0241,ENG-042,CON-010,Delivery Lead,100,1120
ASN-0242,ENG-042,CON-004,Analyst,63,601
ASN-0243,ENG-043,CON-004,Engagement Partner,24,582
ASN-0244,ENG-043,CON-038,Analyst,98,567
ASN-0245,ENG-043,CON-010,Delivery Lead,70,304
ASN-0246,ENG-043,CON-007,Delivery Lead,60,303
ASN-0247,ENG-043,CON-019,Workstream Lead,72,295
ASN-0248,ENG-044,CON-003,Engagement Partner,29,306
ASN-0249,ENG-044,CON-023,Solution Architect,96,261
ASN-0250,ENG-044,CON-008,Delivery Lead,86,250
ASN-0251,ENG-044,CON-024,Solution Architect,87,205
ASN-0252,ENG-045,CON-002,Engagement Partner,27,202
ASN-0253,ENG-045,CON-033,ML Engineer,90,181
ASN-0254,ENG-045,CON-030,Data Engineer,88,167
ASN-0255,ENG-045,CON-016,Workstream Lead,79,143
ASN-0256,ENG-045,CON-039,Analyst,97,162
ASN-0257,ENG-046,CON-008,Engagement Partner,19,217
ASN-0258,ENG-046,CON-038,Analyst,89,185
ASN-0259,ENG-046,CON-026,Senior Consultant,87,150
ASN-0260,ENG-046,CON-035,Consultant,93,111
ASN-0261,ENG-046,CON-009,Delivery Lead,90,167
ASN-0262,ENG-046,CON-031,ML Engineer,92,196
ASN-0263,ENG-046,CON-002,Analyst,69,113
ASN-0264,ENG-047,CON-003,Engagement Partner,19,163
ASN-0265,ENG-047,CON-014,Workstream Lead,73,158
ASN-0266,ENG-047,CON-023,Solution Architect,80,194
ASN-0267,ENG-047,CON-025,Solution Architect,100,275
ASN-0268,ENG-048,CON-002,Engagement Partner,30,379
ASN-0269,ENG-048,CON-005,Delivery Lead,65,235
ASN-0270,ENG-048,CON-011,Delivery Lead,94,261
ASN-0271,ENG-048,CON-016,Workstream Lead,80,258
ASN-0272,ENG-049,CON-001,Engagement Partner,16,294
ASN-0273,ENG-049,CON-007,Delivery Lead,66,196
ASN-0274,ENG-049,CON-013,Workstream Lead,92,289
ASN-0275,ENG-049,CON-039,Analyst,88,181
ASN-0276,ENG-049,CON-020,Solution Architect,80,149
ASN-0277,ENG-049,CON-005,Delivery Lead,63,141
ASN-0278,ENG-049,CON-004,Analyst,83,204
ASN-0279,ENG-050,CON-004,Engagement Partner,28,226
ASN-0280,ENG-050,CON-039,Analyst,99,192
ASN-0281,ENG-050,CON-037,Analyst,99,175
ASN-0282,ENG-050,CON-030,ML Engineer,98,122
ASN-0283,ENG-050,CON-013,Workstream Lead,84,144
